결산년도,당기순익
21년03월(1Q),"1,184"
20년12월(4Q),"5,847"
20년09월(3Q),"12,513"
20년06월(2Q),"2,029"
20년03월(1Q),536
19년12월(4Q),"-13,313"
19년09월(3Q),"2,411"
19년06월(2Q),"-4,122"
19년03월(1Q),"-7,612"
18년12월(4Q),"-7,427"
18년09월(3Q),"7,373"
18년06월(2Q),"-9,186"
18년03월(1Q),"-2,505"
17년12월(4Q),"-13,468"
17년09월(3Q),"15,292"
17년06월(2Q),"3,589"
17년03월(1Q),"9,000"
16년12월(4Q),"2,795"
16년09월(3Q),"29,382"
