결산년도,주가,자본총계,매출액,영업이익,당기순익,BPS,PER,EPS,부채율,영익률
04년06월(2Q),"190,000","63,426","23,840","4,627","2,987","101,969","9.26","3,631","112.68","19.41"
04년03월(1Q),"214,500","60,360","24,006","6,912","4,525","98,243","9.17","5,500","122.24","28.79"
03년12월(4Q),"199,000","59,418","24,804","6,928","4,332","97,098","8.59","5,266","125.11","27.93"
03년09월(3Q),"184,000","55,297","24,102","8,201","5,103","92,089","9.42","6,099","143.47","34.03"
03년06월(2Q),"204,000","55,164","23,869","8,168","5,506","89,414","11.05","6,495","135.53","34.22"
03년03월(1Q),"153,000","49,378","22,427","7,509","4,487","82,471","8.89","5,282","165.39","33.48"
02년12월(4Q),"229,000","55,369","23,656","5,930","1,626","86,698","13.51","1,824","129.75","25.07"
02년09월(3Q),"237,000","63,979","22,236","7,222","4,440","85,144","13.49","4,980","108.91","32.48"
02년06월(2Q),"269,500","57,946","21,125","7,054","4,610","78,378","17.01","5,171","124.08","33.39"
02년03월(1Q),"290,000","55,500","19,322","6,631","4,436","75,633","21.83","4,976","105.52","34.32"
01년12월(4Q),"268,000","56,823","17,100","4,720","2,174","79,730","20.95","2,438","87.04","27.60"
01년09월(3Q),"208,000","60,921","16,014","6,683","2,907","77,247","15.58","3,261","63.49","41.73"
01년06월(2Q),"191,500","58,374","14,940","4,393","2,326","74,391","14.08","2,609","55.42","29.41"
