결산년도,당기순익
21년03월(1Q),"8,867"
20년12월(4Q),"2,699"
20년09월(3Q),"3,234"
20년06월(2Q),"2,207"
20년03월(1Q),"3,466"
19년12월(4Q),"3,531"
19년09월(3Q),"2,650"
19년06월(2Q),"2,074"
19년03월(1Q),"2,224"
18년12월(4Q),"8,046"
18년09월(3Q),"2,357"
18년06월(2Q),"3,321"
18년03월(1Q),"3,759"
17년12월(4Q),524
17년09월(3Q),"1,314"
17년06월(2Q),"1,097"
17년03월(1Q),"1,876"
16년12월(4Q),"2,583"
16년09월(3Q),"1,446"
