통계표,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율
항목명1,원/미국달러(매매기준율),원/위안(매매기준율),원/일본엔(100엔),원/유로,원/독일마르크,원/프랑스프랑,원/이태리리라(100리라),원/벨기에프랑,원/오스트리아실링,원/네덜란드길더,원/스페인페세타(100페세타),원/핀란드마르카,원/영국파운드,원/캐나다달러,원/스위스프랑,원/호주달러,원/뉴질랜드달러,원/중국위안,원/홍콩위안,원/홍콩달러,원/대만달러,원/몽골투그릭,원/카자흐스탄텡게,원/태국바트,원/싱가폴달러,원/인도네시아루피아(100루피아),원/말레이지아링기트,원/필리핀페소,원/베트남동(100동),원/브루나이달러,원/인도루피,원/파키스탄루피,원/방글라데시타카,원/멕시코 페소,원/브라질 헤알,원/아르헨티나페소,원/스웨덴크로나,원/덴마크크로네,원/노르웨이크로네,원/러시아루블,원/헝가리포린트,원/폴란트즈워티,원/체코코루나,원/사우디아라비아리알,원/카타르리얄,원/이스라엘셰켈,원/요르단디나르,원/쿠웨이트디나르,원/바레인디나르,원/아랍연방토후국 더히람,원/터키리라,원/남아프리카공화국랜드,원/이집트파운드
단위,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 
변환,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
2016-04-01,"1,144.50",176.81,"1,016.84","1,302.15",,,,,,,,,"1,644.19",881.33,"1,190.45",877.6,791.77,,,147.55,35.53,0.56,3.32,32.58,848.88,8.63,293.16,24.92,5.13,848.85,17.27,10.93,14.61,66.33,318.76,77.87,140.95,174.75,138.28,17.08,4.15,306.97,48.15,305.15,314.35,304.95,"1,612.99","3,790.36","3,035.65",311.6,406.04,77.87,128.89
2016-04-04,"1,148.90",177.44,"1,028.51","1,308.94",,,,,,,,,"1,634.20",881.19,"1,198.08",881.21,791.71,,,148.17,35.57,0.56,3.36,32.67,851.29,8.73,295.2,24.92,5.15,851.29,17.31,10.97,14.67,66.28,323.32,77.69,141.34,175.73,138.16,16.98,4.17,307.99,48.42,306.32,315.56,304.68,"1,621.59","3,804.93","3,047.32",312.8,406.79,78.1,129.38
2016-04-05,"1,147.80",177.43,"1,031.87","1,307.23",,,,,,,,,"1,637.16",878.03,"1,196.62",872.96,781.65,,,148.02,35.38,0.56,3.33,32.56,848.68,8.72,293.89,24.84,5.14,848.65,17.36,10.95,14.66,65.63,316.98,77.98,141.21,175.68,137.77,16.73,4.18,308.21,48.35,306.04,315.2,303.55,"1,620.39","3,804.44","3,044.40",312.49,408.11,77.65,129.26
2016-04-06,"1,155.00",178.38,"1,047.24","1,314.74",,,,,,,,,"1,635.08",879,"1,207.40",871.51,785.69,,,148.91,35.6,0.56,3.35,32.73,852.3,8.74,294.27,24.92,5.17,852.27,17.37,11.03,14.72,65.28,313.95,78.65,142.05,176.65,138.55,16.83,4.2,308.28,48.63,307.98,317.16,302.73,"1,630.20","3,827.04","3,063.50",314.45,407.72,76.52,130.07
2016-04-07,"1,155.90",178.29,"1,053.45","1,317.26",,,,,,,,,"1,633.23",883.11,"1,208.85",878.66,789.36,,,149.03,35.68,0.57,3.35,32.8,858.03,8.74,295.1,25.03,5.18,858,17.37,11.04,14.74,65.55,317.52,79.14,141.74,176.98,138.97,17.08,4.22,308.52,48.74,308.22,317.41,304.42,"1,632.28","3,830.65","3,065.89",314.71,406.46,76.51,130.17
2016-04-08,"1,154.50",178.12,"1,065.48","1,313.01",,,,,,,,,"1,623.11",878.35,"1,206.88",867.09,782.98,,,148.79,35.59,0.57,3.39,32.81,853.51,8.77,294.93,24.95,5.18,853.48,17.29,11.03,14.73,64.56,312.97,79.76,141.38,176.45,138.65,16.92,4.21,305.58,48.57,307.85,317.04,304.69,"1,630.53","3,827.92","3,062.33",314.32,403.08,75.64,130.01
2016-04-11,"1,156.50",178.44,"1,068.61","1,319.22",,,,,,,,,"1,633.44",890.92,"1,213.09",875.18,788.39,,,149.06,35.63,0.57,3.4,32.97,857.49,8.8,296.35,25.1,5.19,857.49,17.38,11.05,14.76,65.05,322.19,79.95,141.92,177.25,140.63,17.17,4.22,306.95,48.82,308.4,317.58,306.36,"1,631.98","3,835.82","3,067.48",314.87,405.62,77.32,130.24
2016-04-12,"1,149.20",177.5,"1,065.11","1,311.64",,,,,,,,,"1,634.85",890.54,"1,203.73",872.65,788.12,,,148.2,35.51,0.57,3.41,32.81,855.06,8.75,295.42,24.94,5.15,855.25,17.33,10.97,14.65,65.1,329.08,79.13,141.69,176.19,140.2,17.21,4.21,306.66,48.51,306.45,315.58,305.84,"1,622.82","3,812.87","3,048.11",312.87,405.98,77.83,129.42
2016-04-14,"1,144.70",176.72,"1,046.30","1,290.94",,,,,,,,,"1,625.13",893.53,"1,183.89",876.84,791.22,,,147.59,35.33,0.57,3.43,32.67,847.77,8.7,295.6,24.85,5.13,847.8,17.22,10.93,14.61,65.66,327.33,79.55,140.52,173.45,139.04,17.28,4.15,301.11,47.76,305.25,314.35,303.15,"1,616.69","3,796.05","3,036.18",311.64,402.14,78.72,128.91
2016-04-15,"1,153.40",177.66,"1,054.44","1,299.31",,,,,,,,,"1,631.66",897.66,"1,192.88",887.48,790.43,,,148.7,35.59,0.58,3.44,32.87,846.47,8.75,296.16,25.04,5.16,846.53,17.31,11.01,14.71,66.14,331.42,80.52,141.72,174.61,140.04,17.47,4.17,302.17,48.08,307.57,316.74,304.89,"1,628.75","3,824.90","3,059.25",314.02,404.57,79.22,129.89
2016-04-18,"1,150.70",177.28,"1,061.73","1,299.08",,,,,,,,,"1,631.29",886.38,"1,189.78",881.78,796.05,,,148.38,35.58,0.57,3.45,32.86,846.32,8.73,294.48,24.94,5.15,846.41,17.26,10.99,14.68,64.98,325.51,81.97,141.27,174.63,138.34,16.98,4.18,302.7,48.07,306.84,316,304.22,"1,625.17","3,814.69","3,051.85",313.19,403.09,78.61,129.58
2016-04-19,"1,151.10",177.35,"1,057.46","1,301.84",,,,,,,,,"1,643.48",899.79,"1,193.22",892.62,801.05,,,148.43,35.63,0.57,3.38,32.93,851.81,8.74,293.09,24.99,5.15,851.78,17.33,10.99,14.67,66.03,318.51,81.43,141.8,174.94,140.11,17.41,4.19,302.24,48.18,306.95,316.11,304.89,"1,625.50","3,814.49","3,052.91",313.4,405.34,79.46,129.63
2016-04-20,"1,140.50",175.97,"1,044.27","1,295.49",,,,,,,,,"1,641.52",898.92,"1,185.43",890.16,803.08,,,147.06,35.46,0.57,3.38,32.74,852.33,8.67,293.6,24.76,5.11,852.46,17.22,10.88,14.54,65.81,323.13,80.52,141.08,174.05,140.26,17.31,4.18,301.35,47.94,304.1,313.21,303.57,"1,609.74","3,780.62","3,024.96",310.5,402.85,79.84,128.44
2016-04-21,"1,132.30",174.89,"1,030.96","1,279.61",,,,,,,,,"1,623.27",894.92,"1,165.52",882.91,789.44,,,146,35.12,0.57,3.35,32.46,842.52,8.62,292.96,24.45,5.07,842.36,17.1,10.82,14.44,65.61,320.95,78.9,139.35,171.97,139.52,17.37,4.14,299.4,47.35,301.92,310.96,300.42,"1,598.17","3,753.44","3,003.21",308.27,402.5,79.58,127.51
2016-04-22,"1,134.90",174.98,"1,037.05","1,281.19",,,,,,,,,"1,625.18",891.94,"1,164.36",878.92,784.78,,,146.3,35.13,0.57,3.41,32.37,841.1,8.63,291.71,24.38,5.08,841.1,17.06,10.83,14.48,65.03,321.68,79.51,139.39,172.19,138.36,16.98,4.14,296.38,47.42,302.61,311.67,301.07,"1,602.63","3,762.06","3,010.11",308.98,400.78,79.28,127.8
2016-04-25,"1,141.10",175.85,"1,023.45","1,281.68",,,,,,,,,"1,648.55",900.84,"1,166.17",879.39,783.37,,,147.11,35.21,0.57,3.4,32.53,841.74,8.65,292.7,24.42,5.12,841.71,17.12,10.89,14.56,65.36,320.12,79.7,139.9,172.24,138.48,17.11,4.13,293.58,47.4,304.27,313.37,302.28,"1,610.59","3,777.85","3,026.55",310.66,400.51,79.23,128.5
2016-04-26,"1,149.70",176.55,"1,034.09","1,295.31",,,,,,,,,"1,665.05",906.56,"1,179.06",886.99,788.98,,,148.23,35.5,0.58,3.45,32.77,850.28,8.71,294.42,24.51,5.16,850.24,17.24,10.97,14.67,65.43,323.55,80.31,141.22,174.08,140.13,17.26,4.15,293.68,47.92,306.56,315.73,305.61,"1,622.72","3,810.99","3,049.36",313.01,404.19,79.61,129.47
2016-04-27,"1,149.70",176.74,"1,033.02","1,298.82",,,,,,,,,"1,676.09",912.32,"1,180.75",890.9,793.52,,,148.24,35.58,0.57,3.45,32.71,850.9,8.71,293.07,24.57,5.16,850.87,17.3,10.97,14.65,66.16,326.2,80.3,141.58,174.53,140.9,17.63,4.17,296.89,48.03,306.56,315.73,305.81,"1,622.72","3,810.99","3,049.36",313.01,407.43,79.9,129.47
2016-04-28,"1,145.90",176.31,"1,027.85","1,297.96",,,,,,,,,"1,665.91",910.24,"1,180.25",870.88,793.31,,,147.73,35.43,0.57,3.46,32.61,849.76,8.68,292.88,24.4,5.15,849.76,17.27,10.94,14.61,66.23,325.13,80.44,141.63,174.38,140.6,17.61,4.17,296.02,48.01,305.54,314.69,305.29,"1,618.39","3,796.51","3,039.28",311.97,406.28,79.38,129.04
2016-04-29,"1,143.90",175.95,"1,058.19","1,298.38",,,,,,,,,"1,670.95",911.33,"1,182.81",872.22,795.87,,,147.46,35.54,0.57,3.45,32.68,850.8,8.67,293.87,24.42,5.13,850.42,17.22,10.91,14.58,66.31,328.08,79.85,141.74,174.46,140.53,17.71,4.17,295.25,48.02,305.01,314.14,304.03,"1,615.34","3,789.88","3,033.98",311.44,406.47,80.02,128.82
2016-05-02,"1,138.10",175.51,"1,068.09","1,304.03",,,,,,,,,"1,661.06",906.71,"1,186.88",866.38,795.08,,,146.71,35.22,0.57,3.48,32.61,846.9,8.63,291.33,24.26,5.11,846.86,17.13,10.86,14.51,66.23,331.35,79.67,141.8,175.22,141.27,17.59,4.18,298.08,48.22,303.49,312.65,304.55,"1,606.35","3,778.55","3,019.23",309.85,407,80.18,128.17
2016-05-03,"1,140.80",175.95,"1,071.83","1,314.94",,,,,,,,,"1,673.10",910.75,"1,194.62",874.71,802.61,,,147.03,35.43,0.57,3.48,32.72,850.68,8.66,292.03,24.26,5.12,850.64,17.19,10.89,14.55,66.33,325.91,80.46,143.22,176.72,142.24,17.49,4.23,300.14,48.64,304.2,313.34,304.17,"1,610.16","3,791.92","3,026.07",310.6,406.65,79.93,128.47
2016-05-04,"1,137.10",175.34,"1,065.05","1,308.01",,,,,,,,,"1,653.91",894.86,"1,191.99",852.43,788.12,,,146.49,35.16,0.56,3.46,32.48,841.27,8.62,289.26,24.18,5.1,841.24,17.07,10.86,14.5,64.59,319.71,80.09,141.25,175.77,140.1,17.14,4.19,297.52,48.39,303.21,312.33,300.84,"1,605.28","3,783.15","3,016.26",309.58,399.54,77.71,128.05
2016-05-09,"1,153.50",177.2,"1,075.17","1,314.76",,,,,,,,,"1,664.67",892.35,"1,186.24",850.94,789.28,,,148.63,35.59,0.57,3.45,32.84,847.91,8.71,287.8,24.5,5.18,847.91,17.32,11.02,14.71,64.55,329.34,81.11,141.58,176.74,140.67,17.52,4.19,296.71,48.65,307.58,316.83,304.19,"1,628.09","3,837.58","3,059.76",314.04,394.22,77.71,129.9
2016-05-10,"1,164.70",178.72,"1,074.69","1,325.95",,,,,,,,,"1,678.74",898.83,"1,199.05",852.04,789.08,,,150.01,35.71,0.58,3.49,33.05,848.78,8.76,290.23,24.63,5.23,848.78,17.45,11.13,14.85,64.01,331.18,81.86,142.6,178.24,141.7,17.51,4.2,299.14,49.07,310.57,319.91,307.21,"1,644.71","3,874.84","3,089.47",317.09,395.59,76.84,131.16
2016-05-11,"1,174.00",179.51,"1,074.55","1,335.01",,,,,,,,,"1,695.73",909.09,"1,203.24",865.18,797.15,,,151.25,36.12,0.58,3.51,33.32,857.97,8.84,289.55,25.1,5.27,858,17.61,11.22,14.92,65.24,337.79,82.52,143.88,179.42,143.05,17.73,4.24,302.18,49.41,313.05,322.46,310.98,"1,658.07","3,895.29","3,114.14",319.62,397.97,77.67,132.21
2016-05-12,"1,168.10",178.78,"1,077.33","1,334.38",,,,,,,,,"1,686.27",908.39,"1,202.62",859.78,796.18,,,150.52,35.95,0.58,3.51,33.13,854.44,8.78,289.49,25.12,5.24,854.5,17.54,11.16,14.84,64.92,338.46,82.25,143.55,179.35,143.07,17.96,4.22,301.44,49.38,311.48,320.84,310.66,"1,650.21","3,875.58","3,098.49",318.01,395.48,77.59,131.54
2016-05-13,"1,164.10",178.35,"1,068.13","1,324.63",,,,,,,,,"1,681.89",906.9,"1,199.30",852.3,794.85,,,150.01,35.69,0.58,3.53,32.96,847.97,8.75,289.58,24.99,5.23,847.97,17.44,11.12,14.79,64.81,334.21,81.97,142.24,178.02,143.21,17.99,4.2,300.13,49.02,310.39,319.79,308.99,"1,641.08","3,862.05","3,088.04",316.93,392.95,77.4,131.09
2016-05-16,"1,169.40",178.58,"1,077.24","1,323.29",,,,,,,,,"1,678.32",902.7,"1,199.20",849.39,790.75,,,150.61,35.79,0.58,3.56,33.01,851.25,8.78,290.25,25,5.24,851.22,17.49,11.17,14.85,64.34,331.05,82.62,141.92,177.89,142.68,17.84,4.19,301.68,48.97,311.8,321.24,309.55,"1,648.55","3,879.64","3,102.10",318.37,393.47,75.51,131.69
2016-05-17,"1,178.60",179.79,"1,080.59","1,333.64",,,,,,,,,"1,699.01",913.96,"1,205.24",859.02,800.15,,,151.81,36.16,0.59,3.59,33.27,860.54,8.86,292.57,25.35,5.29,860.48,17.62,11.26,14.97,64.39,336.78,83.2,142.61,179.28,144.28,18.15,4.23,304.99,49.35,314.25,323.77,308.38,"1,661.52","3,910.16","3,126.51",320.89,396.11,75.39,132.73
2016-05-18,"1,173.30",179.38,"1,075.14","1,327.35",,,,,,,,,"1,696.12",908.9,"1,196.57",858.97,797.73,,,151.14,35.98,0.58,3.56,33.06,856.55,8.82,291.97,25.24,5.26,856.55,17.54,11.21,14.91,64.16,336.16,82.98,142.08,178.46,143.34,18.11,4.21,303.7,49.12,312.86,322.34,307.68,"1,656.85","3,889.35","3,112.04",319.43,395.34,75.16,132.13
2016-05-19,"1,180.90",180.33,"1,072.23","1,325.38",,,,,,,,,"1,724.35",907.55,"1,195.55",854.44,797.46,,,152.07,36.02,0.59,3.58,33.11,854.76,8.82,291.76,25.28,5.3,854.8,17.58,11.27,15.02,64.09,331.3,83.58,141.51,178.24,142.19,17.9,4.19,301.47,49.05,314.86,324.37,306.95,"1,666.76","3,911.82","3,132.11",321.5,395.35,74.37,132.98
2016-05-20,"1,190.80",181.27,"1,083.28","1,333.93",,,,,,,,,"1,738.98",909.84,"1,201.74",860.83,804.09,,,153.31,36.35,0.6,3.54,33.36,863.24,8.78,291.83,25.43,5.34,863.27,17.65,11.37,15.13,64.65,334.07,84.5,142.53,179.38,142.56,17.84,4.22,302.35,49.37,317.43,327.09,307.97,"1,682.04","3,942.79","3,158.37",324.19,398.53,75.42,134.1
2016-05-23,"1,188.40",181.11,"1,078.75","1,333.27",,,,,,,,,"1,722.94",905.65,"1,199.19",858.92,804.96,,,152.99,36.35,0.6,3.54,33.29,860.72,8.73,291.2,25.45,5.32,860.72,17.63,11.34,15.15,64.68,337.61,84.42,142.85,179.28,142.66,17.78,4.23,301.97,49.32,316.76,326.41,306.27,"1,677.35","3,935.10","3,151.84",323.54,399.15,75.95,133.83
2016-05-24,"1,183.10",180.37,"1,082.88","1,326.91",,,,,,,,,"1,713.42",900.21,"1,195.65",854.61,799.54,,,152.32,36.26,0.59,3.51,33.16,858.5,8.71,289.48,25.33,5.31,858.5,17.54,11.3,15.03,63.87,331.36,84.57,141.84,178.46,141.62,17.75,4.18,298.56,49.09,315.35,324.96,305.89,"1,672.82","3,917.55","3,137.78",322.1,394.98,75.39,133.23
2016-05-25,"1,188.60",181.12,"1,080.10","1,324.10",,,,,,,,,"1,737.44",905.5,"1,196.50",855.14,803.85,,,153.01,36.39,0.59,3.53,33.26,860.74,8.68,288.29,25.44,5.32,860.68,17.57,11.35,15.11,64.34,332.78,84.64,142.96,178.05,142.26,17.95,4.2,299.27,48.99,316.93,326.47,308.53,"1,678.46","3,934.85","3,152.37",323.6,403.39,75.94,133.85
2016-05-26,"1,185.80",180.76,"1,076.39","1,322.64",,,,,,,,,"1,743.48",909.95,"1,195.54",852.47,796.38,,,152.7,36.4,0.59,3.53,33.24,860.52,8.68,288.97,25.35,5.31,860.34,17.62,11.33,15.07,64.13,330.97,84.43,142.86,177.85,142.42,18.13,4.21,299.97,48.95,316.07,325.7,308.54,"1,674.03","3,926.49","3,144.94",322.83,403.38,75.72,133.54
2016-05-27,"1,181.00",180.09,"1,076.33","1,321.89",,,,,,,,,"1,731.88",909.97,"1,193.53",853.15,797.29,,,152.08,36.39,0.59,3.54,33.17,859.88,8.68,289.35,25.3,5.28,859.85,17.64,11.27,15,64.03,329.35,84.33,142.66,177.75,142.76,17.93,4.21,300.11,48.91,314.91,324.38,308.13,"1,666.90","3,910.60","3,132.21",321.53,402.14,76.04,133
2016-05-30,"1,179.30",179.69,"1,065.46","1,310.20",,,,,,,,,"1,724.20",903.54,"1,185.46",847.33,790.25,,,151.86,36.23,0.59,3.51,33,854.53,8.68,289.11,25.26,5.27,854.5,17.59,11.26,15.01,63.87,326.54,84.81,141.24,176.18,141.43,17.92,4.17,298.5,48.48,314.45,323.92,306.55,"1,666.74","3,904.71","3,127.95",321.06,398.75,75.12,134.32
2016-05-31,"1,190.60",180.77,"1,072.76","1,326.80",,,,,,,,,"1,741.97",912.23,"1,200.20",855.86,797.64,,,153.24,36.47,0.6,3.54,33.32,862.19,8.73,289.19,25.45,5.31,862.19,17.73,11.36,15.16,64.39,333.45,85.32,142.91,178.4,142.73,18.11,4.23,301.86,49.1,317.47,327.02,309.29,"1,680.45","3,942.12","3,157.92",324.14,402.84,75.28,134.08
2016-06-01,"1,190.50",180.61,"1,075.67","1,325.21",,,,,,,,,"1,725.21",910.13,"1,198.41",861.68,808.17,,,153.2,36.52,0.6,3.54,33.28,864.47,8.72,288.5,25.46,5.32,864.44,17.71,11.36,15.12,64.49,330.7,85.14,142.87,178.18,142.17,17.91,4.22,301.95,49.05,317.45,327.04,309.02,"1,681.14","3,937.75","3,157.66",324.11,403.78,75.76,134.07
2016-06-02,"1,192.20",180.78,"1,088.82","1,333.77",,,,,,,,,"1,718.62",911.5,"1,205.22",864.64,813.5,,,153.42,36.56,0.6,3.54,33.41,865.58,8.73,287.59,25.58,5.31,865.48,17.68,11.38,15.17,64.42,329.78,85.35,143.66,179.28,143.56,17.81,4.25,304.12,49.34,317.89,327.47,309.44,"1,682.71","3,943.11","3,162.08",324.58,405.21,76.35,134.26
2016-06-03,"1,189.60",180.7,"1,092.73","1,326.64",,,,,,,,,"1,714.39",907.75,"1,201.01",858.71,809.46,,,153.08,36.47,0.6,3.53,33.42,864.6,8.72,286.55,25.54,5.31,864.47,17.68,11.36,15.14,63.7,331.7,85.53,142.87,178.33,142.72,17.8,4.24,302.55,49.09,317.2,326.79,307.98,"1,679.04","3,938.16","3,155.27",323.87,403.38,76.36,133.96
2016-06-07,"1,186.50",180.16,"1,103.77","1,347.39",,,,,,,,,"1,714.79",925.4,"1,222.63",874.21,819.4,,,152.74,36.74,0.6,3.54,33.65,874.97,8.87,289.5,25.71,5.29,874.94,17.76,11.34,15.07,63.51,340.15,86.12,145.97,181.18,145.12,18.11,4.33,309.28,49.87,316.35,325.94,310.32,"1,675.73","3,935.71","3,146.88",323.02,408.31,79.63,133.62
2016-06-08,"1,163.20",176.98,"1,083.41","1,320.99",,,,,,,,,"1,691.41",912.03,"1,205.01",867.05,810.87,,,149.79,36.16,0.59,3.49,33.04,860.26,8.77,286.64,25.26,5.21,860.04,17.42,11.12,14.78,63.26,338.19,84.13,143.1,177.66,143.31,17.98,4.25,303.44,48.89,310.16,319.54,303.35,"1,642.82","3,860.35","3,085.08",316.7,401.56,78.07,130.99
2016-06-09,"1,156.50",175.94,"1,081.65","1,318.06",,,,,,,,,"1,678.25",910.99,"1,206.32",865.58,818.92,,,149.02,35.94,0.58,3.49,32.93,859.12,8.72,284.68,25.21,5.18,859.15,17.39,11.05,14.69,63.78,344.04,83.24,142.61,177.25,142.79,18.11,4.24,305.05,48.78,308.38,317.72,301.64,"1,633.36","3,839.00","3,067.48",314.87,399.83,78.34,130.24
2016-06-10,"1,155.80",175.94,"1,080.14","1,307.61",,,,,,,,,"1,671.63",908.5,"1,198.34",859.4,823.05,,,148.91,35.82,0.58,3.49,32.87,854.09,8.71,285.56,25.12,5.17,853.87,17.32,11.08,14.68,63.35,339.91,83.64,141.28,175.87,141.71,17.95,4.2,301.59,48.39,308.18,317.53,301.38,"1,632.14","3,837.70","3,065.62",314.68,399.3,78,130.16
2016-06-13,"1,163.10",176.58,"1,090.12","1,308.14",,,,,,,,,"1,654.16",910.52,"1,205.85",857.9,820.68,,,149.84,36.02,0.59,3.47,33,854.59,8.75,285.91,25.18,5.21,854.66,17.37,11.17,14.78,62.44,340.29,84.25,140.06,175.9,140.71,17.82,4.19,299.39,48.4,310.14,319.53,301.71,"1,641.64","3,859.25","3,084.90",316.67,397.17,76.29,130.98
2016-06-14,"1,172.80",177.73,"1,105.63","1,324.62",,,,,,,,,"1,666.61",914.71,"1,218.11",865.7,826.12,,,151.07,36.2,0.6,3.5,33.32,865.06,8.83,286.85,25.42,5.23,865.02,17.46,11.22,14.91,62.25,336.83,84.99,142.26,178.12,141.81,17.88,4.23,299.99,49.01,312.72,322.2,303.8,"1,655.33","3,891.56","3,110.71",319.29,401.25,77.41,132.07
2016-06-15,"1,172.50",177.73,"1,105.77","1,314.26",,,,,,,,,"1,654.51",911.32,"1,217.04",861.96,819.34,,,151.07,36.17,0.6,3.46,33.21,864.93,8.77,285.63,25.32,5.23,864.93,17.42,11.2,14.9,61.95,336.91,85.37,141.02,176.76,140.36,17.73,4.18,296.49,48.58,312.64,322.12,302.4,"1,655.96","3,890.57","3,109.91",319.23,399.31,76.5,132.04
2016-06-16,"1,176.30",178.08,"1,111.24","1,324.87",,,,,,,,,"1,669.88",910.8,"1,224.42",871.87,831.76,,,151.58,36.37,0.6,3.48,33.38,870.33,8.8,287.46,25.39,5.25,870.3,17.54,11.25,14.97,62.17,338.55,85.62,141.59,178.17,141.55,17.94,4.22,299.26,48.92,313.65,323.16,305.14,"1,660.27","3,902.27","3,119.99",320.26,402.15,77.27,132.47
2016-06-17,"1,170.10",177.45,"1,121.38","1,314.72",,,,,,,,,"1,663.12",903.45,"1,212.04",862.36,825.74,,,150.8,36.11,0.6,3.46,33.16,867.61,8.75,285.22,25.19,5.25,867.58,17.38,11.19,14.9,61.8,337.7,84.14,140.31,176.81,139.5,17.81,4.19,296.98,48.57,311.98,321.42,302.12,"1,651.52","3,883.89","3,102.97",318.57,399.08,76.36,131.77
2016-06-20,"1,170.80",177.47,"1,118.94","1,326.87",,,,,,,,,"1,696.14",911.27,"1,217.43",869.49,828.75,,,150.86,36.2,0.6,3.46,33.22,868.29,8.78,285.56,25.21,5.23,868.22,17.46,11.18,14.89,62.47,342.56,84.22,141.71,178.42,141.09,18.08,4.23,300.63,49.01,312.19,321.61,302.34,"1,652.51","3,888.02","3,104.83",318.76,401.37,77.8,131.85
2016-06-21,"1,163.20",176.64,"1,119.81","1,316.16",,,,,,,,,"1,706.30",908.89,"1,209.02",866.99,826.69,,,149.88,36.07,0.59,3.47,33.05,866.22,8.77,286.08,25.12,5.19,866.25,17.22,11.11,14.82,62.44,342.54,83.71,141.17,177.01,140.5,18.09,4.21,299.89,48.65,310.16,319.52,301.62,"1,642.59","3,865.99","3,084.67",316.68,400.99,78.35,130.99
2016-06-22,"1,158.20",175.82,"1,105.94","1,303.73",,,,,,,,,"1,698.15",904.7,"1,204.08",863.67,825.68,,,149.27,35.92,0.6,3.43,32.88,862.65,8.73,287.15,24.99,5.17,862.53,17.13,11.06,14.75,62.17,339.07,83,140.08,175.32,139.43,18.14,4.14,296.46,48.17,308.83,318.13,300.13,"1,634.72","3,850.40","3,071.42",315.33,398.05,78.51,130.43
2016-06-23,"1,155.70",175.22,"1,103.56","1,310.16",,,,,,,,,"1,711.30",902.4,"1,204.86",869.14,829.1,,,148.97,35.87,0.59,3.43,32.85,864.4,8.7,286.53,24.91,5.18,864.4,17.14,11.04,14.73,62.79,342.12,82.16,140.58,176.13,140.1,17.88,4.17,299.63,48.42,308.17,317.46,300.45,"1,631.19","3,838.64","3,064.79",314.66,399.88,79.22,130.15
