결산년도,주가,자본총계,매출액,영업이익,당기순익,BPS,PER,EPS,부채율,영익률
06년12월(4Q),"42,400","429,620","65,612","-1,878","-275","68,206","13.14","-43","47.89","-2.86"
06년09월(3Q),"36,850","435,876","75,649","14,408","12,066","68,092","12.06","1,881","44.78","19.05"
06년06월(2Q),"35,150","423,564","60,655","-846","1,593","66,183","12.73","248","45.68","-1.39"
06년03월(1Q),"40,800","422,060","67,873","631","7,323","65,962","12.65","1,141","47.37","0.93"
05년12월(4Q),"37,800","422,057","62,218","-4,708","-1,387","65,970","9.89","-216","46.02","-7.57"
05년09월(3Q),"35,600","421,901","70,417","11,257","10,172","66,183","8.23","1,587","44.71","15.99"
05년06월(2Q),"31,700","411,344","56,513","2,464","4,561","64,530","6.80","712","46.77","4.36"
05년03월(1Q),"26,100","406,916","61,975","4,245","11,141","63,830","5.67","1,739","48.73","6.85"
04년12월(4Q),"26,850","402,769","57,568","-2,560","1,832","63,184","5.97","286","46.28","-4.45"
04년09월(3Q),"21,750","396,506","66,638","12,914","12,332","62,200","5.11","1,925","46.92","19.38"
04년06월(2Q),"18,600","384,175","53,131","2,437","4,165","60,269","4.77","650","48.50","4.59"
04년03월(1Q),"20,150","380,148","58,662","6,941","10,479","59,643","4.59","1,635","51.43","11.83"
03년12월(4Q),"21,400","376,427","55,716","837","269","59,053","5.91","42","50.01","1.50"
03년09월(3Q),"21,650","375,282","61,178","11,310","10,058","58,935","5.04","1,571","50.52","18.49"
03년06월(2Q),"18,900","365,413","50,964","1,561","7,292","57,392","4.56","1,139","51.04","3.06"
03년03월(1Q),"17,900","358,285","56,117","4,420","5,540","56,279","4.05","866","52.66","7.88"
02년12월(4Q),"18,250","359,591","53,346","-255","4,593","56,203","3.82","717","50.02","-0.48"
02년09월(3Q),"20,600","355,082","58,821","10,531","9,101","55,506","4.82","1,422","50.55","17.90"
02년06월(2Q),"22,000","347,099","48,060","3,036","9,080","54,262","5.46","1,419","50.51","6.32"
02년03월(1Q),"24,750","337,985","50,251","5,516","7,824","52,846","7.36","1,222","54.09","10.98"
01년12월(4Q),"21,700","329,948","49,085","-1,959","1,345","51,585","7.81","210","54.27","-3.99"
01년09월(3Q),"21,000","332,419","55,920","9,668","7,533","51,970","14.53","1,177","51.21","17.29"
01년06월(2Q),"24,200","324,963","45,069","2,388","4,808","50,810","10.06","751","49.82","5.30"
