결산년도,주가,자본총계,매출액,영업이익,당기순익,BPS,PER,EPS,부채율,영익률
03년09월(3Q),"37,000","17,714","11,249","1,472","1,291","20,877","6.65","1,522","111.21","13.09"
03년06월(2Q),"30,650","16,176","13,903","1,644","1,623","19,072","5.95","1,909","121.18","11.83"
03년03월(1Q),"19,250","14,471","12,600","1,311","1,296","16,977","4.29","1,520","150.08","10.41"
02년12월(4Q),"21,800","12,716","12,726","1,244","528","14,924","5.16","620","141.85","9.77"
02년09월(3Q),"24,000","13,023","10,861","1,009","941","15,284","5.89","1,105","143.87","9.29"
02년06월(2Q),"25,400","11,919","9,972","1,088","1,059","14,212","6.52","1,243","155.68","10.91"
02년03월(1Q),"31,850","11,036","7,788","924","1,072","13,127","8.83","1,272","172.28","11.86"
01년12월(4Q),"18,900","9,235","8,044","831","400","11,755","6.14","507","181.48","10.32"
01년09월(3Q),"11,050","8,554","7,530","1,000","788","10,848","3.49","998","233.41","13.29"
01년06월(2Q),"14,000","7,683","7,398","903","781","9,732","6.15","989","234.33","12.21"
