결산년도,당기순익
21년03월(1Q),"5,720"
20년12월(4Q),"3,668"
20년09월(3Q),"3,957"
20년06월(2Q),"4,322"
20년03월(1Q),"3,060"
19년12월(4Q),-464
19년09월(3Q),"2,744"
19년06월(2Q),"2,591"
19년03월(1Q),"3,736"
18년12월(4Q),"4,745"
18년09월(3Q),"10,498"
18년06월(2Q),"9,143"
18년03월(1Q),"6,934"
17년12월(4Q),"6,606"
17년09월(3Q),"7,930"
17년06월(2Q),"6,205"
17년03월(1Q),"5,835"
16년12월(4Q),"4,747"
16년09월(3Q),"3,221"
