결산년도,당기순익
21년03월(1Q),"12,852"
20년12월(4Q),"5,766"
20년09월(3Q),"11,942"
20년06월(2Q),"9,925"
20년03월(1Q),"7,389"
19년12월(4Q),"5,351"
19년09월(3Q),"9,407"
19년06월(2Q),"9,915"
19년03월(1Q),"8,459"
18년12월(4Q),"1,928"
18년09월(3Q),"9,540"
18년06월(2Q),"9,468"
18년03월(1Q),"9,684"
17년12월(4Q),"5,537"
17년09월(3Q),"8,974"
17년06월(2Q),"10,047"
17년03월(1Q),"8,876"
16년12월(4Q),"4,631"
16년09월(3Q),"5,774"
