결산년도,당기순익
21년03월(1Q),398.0
20년12월(4Q),158.0
20년09월(3Q),69.0
20년06월(2Q),-72.0
20년03월(1Q),142.0
19년12월(4Q),149.0
19년09월(3Q),300.0
19년06월(2Q),234.0
19년03월(1Q),329.0
18년12월(4Q),320.0
18년09월(3Q),372.0
18년06월(2Q),321.0
18년03월(1Q),315.0
17년12월(4Q),330.0
17년09월(3Q),303.0
17년06월(2Q),176.0
17년03월(1Q),230.0
16년12월(4Q),221.0
16년09월(3Q),183.0
