결산년도,당기순익
21년03월(1Q),610
20년12월(4Q),962
20년09월(3Q),561
20년06월(2Q),520
20년03월(1Q),367
19년12월(4Q),776
19년09월(3Q),214
19년06월(2Q),-124
19년03월(1Q),-368
18년12월(4Q),"3,173"
18년09월(3Q),-270
18년06월(2Q),-195
18년03월(1Q),-467
17년12월(4Q),-101
17년09월(3Q),-317
17년06월(2Q),-221
17년03월(1Q),-331
16년12월(4Q),-570
,
