결산년도,주가,자본총계,매출액,영업이익,당기순익,BPS,PER,EPS,부채율,영익률
05년03월(1Q),"502,000","351,962","138,122","21,499","14,984","4,624","9.35","176","26.79","15.57"
04년12월(4Q),"450,500","344,404","138,953","15,326","18,253","4,538","7.16","215","27.22","11.03"
04년09월(3Q),"458,000","345,405","143,439","27,423","26,895","4,357","7.31","316","28.64","19.12"
04년06월(2Q),"477,000","328,036","149,795","37,330","31,332","4,135","8.34","366","31.76","24.92"
04년03월(1Q),"572,000","317,793","144,136","40,089","31,388","3,945","12.60","361","32.72","27.81"
03년12월(4Q),"451,000","294,145","128,850","26,265","18,606","3,747","13.36","212","33.28","20.38"
03년09월(3Q),"392,000","278,945","112,611","20,537","18,398","3,461","12.41","210","30.46","18.24"
03년06월(2Q),"355,000","260,530","98,371","11,606","11,304","3,251","11.53","129","29.86","11.80"
03년03월(1Q),"284,000","251,898","95,987","13,519","11,281","3,163","8.10","126","34.52","14.08"
02년12월(4Q),"314,000","251,389","100,227","17,438","15,032","3,104","7.92","169","37.00","17.40"
02년09월(3Q),"298,500","236,025","99,241","17,656","17,258","2,932","8.92","194","37.73","17.79"
02년06월(2Q),"329,000","226,999","99,360","18,709","19,173","2,731","12.55","216","39.37","18.83"
02년03월(1Q),"368,000","217,314","99,304","20,979","19,054","2,565","18.05","215","36.19","21.13"
01년12월(4Q),"279,000","194,737","84,828","690","4,026","2,317","16.70","46","43.37","0.81"
01년09월(3Q),"140,000","188,981","72,343","182","4,249","2,251","6.66","48","46.26","0.25"
01년06월(2Q),"192,000","186,237","80,196","6,000","8,758","2,221","6.84","99","47.44","7.48"
