결산년도,KB 금융,LG 생활건강,LG 화학,NAVER,SK 텔레콤,삼성물산,삼성바이오로직스,삼성전자,포스코 케미칼,한국전력,현대 모비스,현대차,합,증가율,KB 금융증가율,LG 생활건강증가율,LG 화학증가율,NAVER증가율,SK 텔레콤증가율,삼성물산증가율,삼성바이오로직스증가율,삼성전자증가율,포스코 케미칼증가율,한국전력증가율,현대 모비스증가율,현대차증가율,KB 금융전체대비증가율,LG 생활건강전체대비증가율,LG 화학전체대비증가율,NAVER전체대비증가율,SK 텔레콤전체대비증가율,삼성물산전체대비증가율,삼성바이오로직스전체대비증가율,삼성전자전체대비증가율,포스코 케미칼전체대비증가율,한국전력전체대비증가율,현대 모비스전체대비증가율,현대차전체대비증가율
16년09월(3Q),5774.0,1921.0,2974.0,1980.0,3221.0,1446.0,0.0,45379.0,183.0,29382.0,7058.0,11188.0,221012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16년12월(4Q),4631.0,671.0,2700.0,1828.0,4747.0,2583.0,-570.0,70880.0,221.0,2795.0,6974.0,10688.0,216296.0,-2.1338207880115108,-19.79563560789747,-65.07027589796981,-9.213180901143241,-7.6767676767676765,47.376591120769945,78.63070539419087,0.0,56.195597082350865,20.76502732240437,-90.48737322170037,-1.1901388495324454,-4.46907400786557,-17.661814819885958,-62.936455109958295,-7.079360113131731,-5.542946888756166,49.51041190878146,80.76452618220237,2.1338207880115108,58.32941787036238,22.898848110415884,-88.35355243368886,0.9436819384790653,-2.3352532198540596
17년03월(1Q),8876.0,1805.0,5481.0,2109.0,5835.0,1876.0,-331.0,76844.0,230.0,9000.0,7619.0,14057.0,266802.0,23.350408699189998,91.66486719930901,169.00149031296573,103.0,15.371991247264772,22.919738782388876,-27.371273712737125,41.929824561403514,8.414221218961625,4.072398190045249,222.00357781753132,9.248637797533696,31.521332335329344,68.31445850011902,145.65108161377572,79.64959130081,-7.9784174519252264,-0.4306699168011221,-50.72168241192712,18.579415862213516,-14.936187480228373,-19.27801050914475,198.65316911834134,-14.101770901656302,8.170923636139346
17년06월(2Q),10047.0,1682.0,5903.0,1714.0,6205.0,1097.0,-221.0,110539.0,176.0,3589.0,4822.0,9136.0,309378.0,15.957901365057234,13.192879675529518,-6.814404432132965,7.699324940704251,-18.729255571360834,6.341045415595545,-41.52452025586354,33.23262839879154,43.84857633647389,-23.47826086956522,-60.12222222222222,-36.710854442840265,-35.00746958810557,-2.7650216895277158,-22.7723057971902,-8.258576424352983,-34.68715693641807,-9.616855949461689,-57.482421620920775,17.274727033734308,27.890674971416658,-39.43616223462245,-76.08012358727946,-52.6687558078975,-50.965370953162804
17년09월(3Q),8974.0,1876.0,5455.0,2158.0,7930.0,1314.0,-317.0,111934.0,303.0,15292.0,4822.0,9392.0,338266.0,9.337444808615997,-10.679804916890614,11.533888228299643,-7.589361341690666,25.90431738623104,27.800161160354552,19.78122151321787,-43.43891402714932,1.2619980278453757,72.1590909090909,326.07968793535804,0.0,2.8021015761821366,-20.01724972550661,2.1964434196836464,-16.926806150306664,16.566872577615044,18.462716351738557,10.443776704601872,-52.77635883576532,-8.075446780770621,62.82164610047491,316.74224312674204,-9.337444808615997,-6.53534323243386
17년12월(4Q),5537.0,820.0,3381.0,1720.0,6606.0,524.0,-101.0,122551.0,330.0,-13468.0,-1686.0,12879.0,278186.0,-17.761170203331105,-38.29953198127925,-56.28997867803838,-38.020164986251146,-20.296570898980537,-16.69609079445145,-60.12176560121766,68.13880126182966,9.485053692354423,8.91089108910891,-188.0721946115616,-134.9647449191207,37.127342419080065,-20.538361777948147,-38.528808474707276,-20.25899478292004,-2.5354006956494324,1.0650794088796545,-42.360595397886556,85.89997146516076,27.246223895685528,26.672061292440013,-170.31102440823048,-117.2035747157896,54.88851262241117
18년03월(1Q),9684.0,1964.0,5527.0,1538.0,6934.0,3759.0,-467.0,116885.0,315.0,-2505.0,4659.0,7316.0,311218.0,11.874069866923568,74.89615315152611,139.5121951219512,63.4723454599231,-10.58139534883721,4.965183166818044,617.3664122137404,-362.3762376237624,-4.623381286158415,-4.545454545454546,81.4003564003564,376.3345195729537,-43.19434738721951,63.02208328460254,127.63812525502765,51.59827559299953,-22.45546521576078,-6.908886700105524,605.4923423468168,-374.25030749068594,-16.497451153081983,-16.419524412378113,69.52628653343284,364.46044970603015,-55.06841725414308
18년06월(2Q),9468.0,1874.0,4934.0,2818.0,9143.0,3321.0,-195.0,110434.0,321.0,-9186.0,5529.0,8107.0,293136.0,-5.810075252716746,-2.2304832713754648,-4.582484725050916,-10.72914781979374,83.22496749024707,31.85751370060571,-11.652035115722265,58.2441113490364,-5.519099970056038,1.9047619047619049,-266.7065868263473,18.673535093367676,10.811919081465282,3.579591981341281,1.2275905276658294,-4.919072567076994,89.03504274296381,37.66758895332246,-5.84195986300552,64.05418660175314,0.2909752826607077,7.714837157478651,-260.89651157363056,24.483610346084422,16.621994334182027
18년09월(3Q),9540.0,2072.0,3466.0,684.0,10498.0,2357.0,-270.0,131507.0,372.0,7373.0,4496.0,3060.0,350310.0,19.504257409530048,0.7604562737642585,10.56563500533618,-29.75273611674098,-75.72746628814762,14.820080936235373,-29.02740138512496,-38.46153846153847,19.08198562037054,15.887850467289718,180.26344437187024,-18.683306203653462,-62.25484149500432,-18.74380113576579,-8.938622404193868,-49.25699352627103,-95.23172369767767,-4.684176473294675,-48.53165879465501,-57.965795871068515,-0.4222717891595096,-3.6164069422403298,160.75918696234018,-38.187563613183514,-81.75909890453437
18년12월(4Q),1928.0,1013.0,1266.0,1240.0,4745.0,8046.0,3173.0,84622.0,320.0,-7427.0,4198.0,-2033.0,202182.0,-42.28483343324484,-79.79035639412999,-51.11003861003861,-63.4737449509521,81.28654970760235,-54.80091445989712,241.36614340263046,1275.1851851851852,-35.65209456530831,-13.978494623655912,-200.732402007324,-6.628113879003558,-166.43790849673204,-37.505522960885145,-8.825205176793766,-21.18891151770726,123.57138314084719,-12.51608102665228,283.6509768358753,1317.47001861843,6.632738867936531,28.30633880958893,-158.44756857407916,35.656719554241285,-124.1530750634872
