date,open,high,low,close,volume
2016-07-01,28540,29580,28540,29320,14393600
2016-07-04,29280,29480,29020,29320,7995000
2016-07-05,29320,29500,29240,29380,7870350
2016-07-06,28940,29040,28240,28420,16749150
2016-07-07,28420,29000,28320,29000,11495200
2016-07-08,29000,29500,28980,29200,13498150
2016-07-11,29200,30000,29200,29780,14056800
2016-07-12,29980,30100,29200,29280,11024700
2016-07-13,29920,29920,29260,29620,10009900
2016-07-14,29620,30000,29520,30000,12430250
2016-07-15,30000,30440,29720,30360,11623150
2016-07-18,30360,30660,30000,30660,11567200
2016-07-19,30560,30800,30440,30660,10122250
2016-07-20,30660,30840,30480,30800,7773150
2016-07-21,30800,30940,30740,30860,8544700
2016-07-22,30120,30560,30120,30320,8585150
2016-07-25,30000,30460,29900,30040,7732500
2016-07-26,30000,30620,29960,30600,7228500
2016-07-27,30240,30580,30240,30540,6335050
2016-07-28,30660,30720,29960,30140,9503700
2016-07-29,30400,31140,30220,30780,14985600
2016-08-01,31380,31600,31200,31360,11515400
2016-08-02,31360,31360,30920,30960,8315800
2016-08-03,30960,30960,30340,30340,7504900
2016-08-04,30380,30660,30340,30340,7009950
2016-08-05,30580,31280,30500,31220,6958850
2016-08-08,31320,31500,31120,31380,11125150
2016-08-09,31480,31580,31140,31340,9023200
2016-08-10,31340,31400,30680,30820,12340350
2016-08-11,30820,31180,30520,31180,10533600
2016-08-12,31180,31400,30880,30900,10474850
2016-08-16,30900,31520,30900,31360,10843100
2016-08-17,31380,31400,31020,31320,7446450
2016-08-18,31340,32880,31320,32800,18327050
2016-08-19,32760,33500,32720,33500,16805150
2016-08-22,33480,33840,33180,33300,12612200
2016-08-23,33300,33880,33140,33740,11545700
2016-08-24,33600,33640,32720,33060,15938550
2016-08-25,32600,33180,32440,32780,14173800
2016-08-26,32120,32460,32060,32240,12058000
2016-08-29,32040,32800,31940,32800,8925750
2016-08-30,32940,33420,32660,32900,7849600
2016-08-31,32820,32820,32220,32400,20532200
2016-09-01,31660,31760,31260,31740,18790150
2016-09-02,31900,32260,31760,31940,8153000
2016-09-05,31800,32300,31700,32120,8383800
2016-09-06,32140,32900,31940,32860,7660150
2016-09-07,32960,33040,32420,32420,9591850
2016-09-08,32460,32780,32280,32780,12070850
2016-09-09,32220,32360,31280,31500,13258400
2016-09-12,29800,30120,29120,29300,26499350
2016-09-13,30160,30980,29900,30540,24717250
2016-09-19,30760,31380,30720,31160,22408150
2016-09-20,31180,31760,31180,31700,12921150
2016-09-21,31900,32020,31520,31840,10509050
2016-09-22,32000,32820,31980,32360,11429950
2016-09-23,31640,31960,31320,31420,18299650
2016-09-26,31420,31920,31280,31360,14524800
2016-09-27,31000,31500,30660,31380,9834400
2016-09-28,31080,31460,31080,31340,8706400
2016-09-29,31460,32380,31440,32000,11397550
2016-09-30,31800,32300,31700,31960,11762700
2016-10-04,32200,32480,32120,32280,13053100
2016-10-05,32020,32520,31940,32380,12470450
2016-10-06,33920,34000,33340,33820,29558150
