date,open,high,low,close,volume
2017-10-17,271500,272000,267000,268500,132559
2017-10-18,267000,272000,265500,267500,140869
2017-10-19,266000,269000,263500,264500,111201
2017-10-20,262500,265500,260500,265000,145965
2017-10-23,263000,264000,260500,262000,116797
2017-10-24,261000,263500,260000,263000,115504
2017-10-25,261500,269000,261500,267000,122117
2017-10-26,265500,268500,262500,263500,106643
2017-10-27,263000,263500,260000,261000,171898
2017-10-30,261000,261500,257500,257500,131325
2017-10-31,259000,264000,257000,264000,160921
2017-11-01,260500,265500,260500,263500,114066
2017-11-02,263500,266500,261500,265000,101233
2017-11-03,266000,267500,264500,266000,77429
2017-11-06,267000,267000,258000,260000,186782
2017-11-07,259500,262000,255000,256000,174795
2017-11-08,254500,257000,252500,254000,154112
2017-11-09,255500,256500,251500,253500,155671
2017-11-10,254500,256500,254000,256000,129719
2017-11-13,254500,257000,251000,252500,192704
2017-11-14,253500,254500,249000,251000,177107
2017-11-15,252000,253000,248500,252000,120209
2017-11-16,255000,256500,253500,255500,123785
2017-11-17,256000,256500,252500,254500,148338
2017-11-20,253500,254000,250500,250500,111289
2017-11-21,252000,253000,250500,250500,87703
2017-11-22,251500,260500,251000,260500,251230
2017-11-23,262500,262500,258000,260000,161178
2017-11-24,262500,262500,259000,261500,107533
2017-11-27,262500,262500,257000,260000,120008
2017-11-28,259500,259500,255000,259000,172454
2017-11-29,256500,259000,255000,256000,106361
2017-11-30,260500,267000,258500,264000,360444
2017-12-01,266000,267000,262500,265000,158382
2017-12-04,268000,270000,265500,269500,172999
2017-12-05,267500,276500,267000,275500,283037
2017-12-06,275500,278000,274000,275500,206927
2017-12-07,275000,279500,273500,277500,229193
2017-12-08,276000,281500,270000,271500,260389
2017-12-11,270000,275500,269500,274500,126433
2017-12-12,274500,275500,269500,270000,165530
2017-12-13,269500,279000,268500,276500,175642
2017-12-14,276000,282000,273000,274500,311676
2017-12-15,276500,280000,275000,277000,140670
2017-12-18,279000,279000,270500,272500,198104
2017-12-19,273000,275500,271000,273000,103005
2017-12-20,271500,275000,271500,272000,125141
2017-12-21,271000,274500,271000,272000,144839
2017-12-22,274000,276000,272000,274000,113643
2017-12-26,275000,279000,274000,278000,187753
2017-12-27,270000,270500,266000,267500,150137
2017-12-28,268500,269000,265500,267000,114283
2018-01-02,267000,269500,265000,265500,84282
2018-01-03,265000,266500,261000,262000,188049
2018-01-04,262500,263000,259000,259500,205894
2018-01-05,259000,268500,259000,267500,234342
2018-01-08,268000,268000,263500,266000,112969
2018-01-09,266000,277000,265000,276000,263530
2018-01-10,274500,275500,267500,268500,226981
2018-01-11,269500,273000,268000,268500,194631
2018-01-12,267500,269000,266000,267000,157755
2018-01-15,267000,268000,264000,266000,140900
2018-01-16,266000,268500,264500,266000,95879
2018-01-17,266000,273000,266000,266500,168931
2018-01-18,271000,279500,267500,278000,289341
2018-01-19,276500,281500,273000,280000,188070
2018-01-22,280000,280000,274000,274000,106764
2018-01-23,276000,280000,273500,274000,164955
2018-01-24,274000,276500,271500,274000,126749
2018-01-25,272500,273000,265500,266500,271858
2018-01-26,265000,268500,263500,267500,147904
2018-01-29,268500,271000,265000,265500,180627
2018-01-30,265000,269000,265000,267000,183371
2018-01-31,266000,268500,261000,265500,202799
2018-02-01,265000,267000,261500,261500,170235
2018-02-02,262000,264500,261000,262000,142187
2018-02-05,261000,263000,258000,260000,160660
2018-02-06,258000,258000,251000,255500,175093
2018-02-07,253500,254500,246000,248000,326122
2018-02-08,244500,248000,243000,244000,247700
2018-02-09,240000,244000,236500,240000,237499
2018-02-12,240500,241500,237500,240000,151051
2018-02-13,241000,242500,237000,240500,179127
2018-02-14,242500,246500,241000,244000,118644
2018-02-19,248000,248000,242000,243500,101187
2018-02-20,244000,247000,243500,245000,104483
2018-02-21,247500,247500,244000,246000,127927
2018-02-22,244500,245000,238500,240000,212200
2018-02-23,240000,241500,239000,241500,135948
2018-02-26,241000,241500,238500,239500,160207
2018-02-27,240500,243500,239500,241000,151694
2018-02-28,240500,241000,238500,240000,142015
2018-03-02,237000,237500,232500,234500,176411
2018-03-05,233500,236500,233000,234000,98455
2018-03-06,235000,236000,230500,232000,255727
2018-03-07,230500,234000,229000,232000,157796
2018-03-08,234500,234500,229000,229500,282839
2018-03-09,230500,235500,230500,233500,168080
2018-03-12,234500,237500,232000,236000,166133
2018-03-13,234000,237500,233000,235000,224561
2018-03-14,233500,234500,231000,232500,160355
2018-03-15,232500,238000,231500,236500,159220
2018-03-16,237000,242500,237000,239500,215339
2018-03-19,239500,239500,236000,239000,193083
2018-03-20,236500,236500,232000,232500,226322
2018-03-21,231500,234000,230000,230000,251698
2018-03-22,230500,232500,230000,231500,144314
2018-03-23,230000,230500,227500,228500,189547
2018-03-26,227500,228000,224000,226500,184391
2018-03-27,227000,230500,224500,228000,135504
2018-03-28,226500,228000,224000,226500,135695
2018-03-29,227000,231000,226500,230000,153802
2018-03-30,231500,235000,230500,233500,153378
2018-04-02,233500,236000,233000,235000,119524
2018-04-03,233500,238500,232500,237000,211510
2018-04-04,235500,237000,233000,234500,160523
2018-04-05,234500,236000,232000,233000,158335
2018-04-06,232000,234000,230500,232500,137492
2018-04-09,232000,236500,231500,235000,138841
2018-04-10,233000,234000,231000,232500,176331
2018-04-11,231000,232500,230500,231000,192187
2018-04-12,230500,231500,229000,229000,255470
2018-04-13,226500,227500,222000,224000,438740
2018-04-16,224000,225500,222000,225500,171889
2018-04-17,224000,226000,222000,223500,174675
2018-04-18,222500,224500,221000,222000,222901
2018-04-19,222000,225000,221500,222000,207921
2018-04-20,224000,226000,222000,225000,166968
2018-04-23,225500,226500,224000,226000,129042
2018-04-24,226500,226500,223000,223500,150750
2018-04-25,224500,227500,224000,226500,147954
2018-04-26,226500,226500,222000,222500,212787
2018-04-27,222000,226500,221500,226500,190233
2018-04-30,228000,228500,225500,228500,143557
2018-05-02,228500,228500,226000,228500,155263
2018-05-03,227500,232500,227000,231500,163122
2018-05-04,229000,232500,228500,230500,187784
2018-05-08,229000,231500,227500,228000,156481
2018-05-09,227000,229500,224500,226000,288474
2018-05-10,226500,226500,222500,222500,267451
2018-05-11,223000,225000,222500,224500,99109
2018-05-14,223500,224000,220000,221000,218847
2018-05-15,220500,222000,219000,220500,113543
2018-05-16,220500,222000,220000,221000,112939
2018-05-17,221500,222500,220500,222000,87217
2018-05-18,222000,223000,221000,223000,84767
2018-05-21,223000,223500,221000,222500,73057
2018-05-23,223500,225000,222500,224500,263785
2018-05-24,224500,225000,222500,224000,123644
2018-05-25,225000,228000,223000,227500,238144
2018-05-28,227500,227500,224500,227500,94566
2018-05-29,226500,228000,225500,227500,88355
2018-05-30,225500,225500,222000,223000,181071
2018-05-31,222500,224000,221000,222000,206527
2018-06-01,224000,224000,221000,222000,84766
2018-06-04,222500,224500,221500,223000,103839
2018-06-05,222500,224000,222000,222500,114219
2018-06-07,225500,227500,224000,226500,167870
2018-06-08,231000,234000,228500,230000,248808
2018-06-11,232000,241500,230500,241000,493788
2018-06-12,241000,247500,240000,246500,496297
2018-06-14,246000,247500,240000,241500,475496
2018-06-15,241500,242000,234500,234500,383841
2018-06-18,237000,244500,236000,237500,362647
2018-06-19,237000,240000,230500,235500,259609
2018-06-20,238000,244500,235000,241500,308843
2018-06-21,237500,245000,236500,243000,209128
2018-06-22,240000,243500,239500,242000,141907
2018-06-25,240000,242000,234000,237000,169243
2018-06-26,237000,238000,233500,237000,118980
2018-06-27,234000,237000,233500,235000,142578
2018-06-28,233000,236000,230500,231500,136356
