date,open,high,low,close,volume
2016-07-01,32700,33000,32600,32850,426818
2016-07-04,32800,32950,32500,32600,415412
2016-07-05,32450,32800,32350,32600,435670
2016-07-06,32300,32650,31700,31850,978976
2016-07-07,32100,32350,31800,32200,351600
2016-07-08,31900,32100,31500,31800,1412601
2016-07-11,32250,32350,31850,32150,669612
2016-07-12,32200,33000,32050,33000,736590
2016-07-13,32850,33450,32850,33400,772604
2016-07-14,33600,33600,32950,33350,539303
2016-07-15,33350,34150,33350,34150,1151072
2016-07-18,33900,34250,33600,34100,473033
2016-07-19,34200,34550,33950,34550,666781
2016-07-20,34250,34350,33550,34100,736784
2016-07-21,34150,34600,34100,34350,431189
2016-07-22,35300,35500,34900,35300,1317618
2016-07-25,35300,36750,35250,36750,1850792
2016-07-26,36200,36550,35800,36550,3310594
2016-07-27,36250,36750,36200,36350,805079
2016-07-28,36200,36350,35450,35800,729555
2016-07-29,35450,35800,35150,35200,764372
2016-08-01,35200,35850,35100,35650,739538
2016-08-02,35300,35400,34800,35200,501684
2016-08-03,36050,36200,34850,35300,1530115
2016-08-04,35500,35800,35050,35500,781565
2016-08-05,35400,36300,35400,36200,792221
2016-08-08,36650,37500,36250,37400,1993745
2016-08-09,37400,38050,37050,38000,1418098
2016-08-10,37800,38200,37600,37900,1165553
2016-08-11,37700,37850,37250,37650,804055
2016-08-12,37700,38150,37500,37700,935917
2016-08-16,37800,38000,37500,37600,670740
2016-08-17,37550,37600,36950,37400,747528
2016-08-18,37150,37500,36850,37200,707673
2016-08-19,37100,37400,36900,37200,654877
2016-08-22,37200,37350,36700,37100,579085
2016-08-23,37150,37550,36900,37300,606948
2016-08-24,36950,37200,36450,36850,733505
2016-08-25,37450,38100,37100,38100,1263432
2016-08-26,37750,37900,37150,37350,917423
2016-08-29,37700,38750,37350,38400,2027132
2016-08-30,38550,38850,38200,38750,986991
2016-08-31,38750,38900,38250,38900,1276616
2016-09-01,38600,39700,38450,39550,1109051
2016-09-02,39300,39450,38700,39000,731762
2016-09-05,39050,39800,38950,39750,559715
2016-09-06,39650,39700,39100,39500,625461
2016-09-07,39500,40000,39300,39900,597987
2016-09-08,39900,39900,39400,39400,753947
2016-09-09,39100,40200,39100,39750,845945
2016-09-12,39500,39800,39300,39300,760925
